team,rank_in_team,player_name,club,position,goals_per90,xg_per90,blended_per90,xg_imputed,manual_source,total_minutes
Mexico,2,Raúl Jiménez,Fulham,F S,0.4324734446130501,0.4642359249234448,0.44835468476824747,False,False,3954
Morocco,1,Youssef En-Nesyri,Sevilla,F S,0.5581395348837209,0.4670288572087884,0.5125841960462547,False,False,2580
Netherlands,1,Donyell Malen,Borussia Dortmund,D M S,0.6418918918918919,0.5277583738663107,0.5848251328791013,False,False,2664
Netherlands,2,Memphis Depay,Atletico Madrid,F S,0.5172413793103449,0.6502877842506458,0.5837645817804953,False,False,870
Netherlands,3,Cody Gakpo,Liverpool,F M S,0.4487534626038781,0.4330591914241416,0.4409063270140099,False,False,3610
New Zealand,1,Chris Wood,Nottingham Forest,F S,0.6347230864965775,0.5414360990445289,0.5880795927705532,False,False,4821
Nigeria,1,Victor Osimhen,Napoli,F S,0.6699751861042184,0.7627849796920941,0.7163800828981562,False,False,2015
Nigeria,2,Paul Onuachu,Southampton,F S,0.354679802955665,0.4333066561630941,0.39399322955937954,False,False,1015
Nigeria,3,Samuel Chukwueze,AC Milan,F M S,0.18740239458615304,0.2394622268483919,0.21343231071727248,False,False,1921
Paraguay,1,Miguel Almirón,Newcastle United,F S,0.12826603325415678,0.24008119121335464,0.18417361223375572,False,False,2105
Peru,1,Gianluca Lapadula,Cagliari,F S,0.18194070080862534,0.39563483877403716,0.28878776979133125,False,False,1484
Poland,1,Robert Lewandowski,Barcelona,F S,0.7536865101037684,0.7754621442645414,0.764574327184155,False,False,5493
Poland,2,Arkadiusz Milik,Juventus,F S,0.4195804195804196,0.565809211107557,0.4926948153439883,False,False,858
Poland,3,Karol Swiderski,Verona,F M S,0.371900826446281,0.3870062254492409,0.37945352594776094,False,False,484
Portugal,1,Gonçalo Ramos,Paris Saint Germain,F S,0.7624041952400161,0.9551191496159003,0.8587616724279582,False,False,2479
Portugal,2,Diogo Jota,Liverpool,F S,0.6122448979591837,0.6478652976719397,0.6300550978155617,False,False,2352
Portugal,3,Rafael Leão,AC Milan,F M S,0.3146206045650833,0.3364802952189364,0.3255504498920099,False,False,4863
Senegal,1,Nicolas Jackson,Chelsea,F S,0.4225352112676056,0.5932159300460677,0.5078755706568366,False,False,5112
Senegal,2,Boulaye Dia,Lazio,F M S,0.3488372093023256,0.3085126513565269,0.32867493032942624,False,False,3354
Senegal,3,Ismaila Sarr,Crystal Palace,F M S,0.23729626078619367,0.3529508252407595,0.2951235430134766,False,False,4172
Serbia,1,Dusan Vlahovic,Juventus,F S,0.5653539502295241,0.7231321176759292,0.6442430339527266,False,False,4139
Serbia,2,Luka Jovic,AC Milan,F S,0.5168700646087581,0.5120196030993344,0.5144448338540462,False,False,1393
South Africa,1,Lyle Foster,Burnley,F M S,0.23219814241486067,0.2604402695139495,0.2463192059644051,False,False,1938
Spain,1,Ferrán Torres,Barcelona,F M S,0.6766917293233082,0.6300927325259369,0.6533922309246225,False,False,2261
Spain,2,Joselu,Real Madrid,F S,0.5518087063151441,0.7484468202958034,0.6501277633054738,False,False,1631
Spain,3,Álvaro Morata,AC Milan,F M S,0.5932762030323007,0.6673829510977434,0.630329577065022,False,False,3034
Switzerland,1,Breel Embolo,Monaco,F M S,0.3106508875739645,0.5859731906231427,0.44831203909855355,False,False,2028
Switzerland,2,Ruben Vargas,Augsburg,M S,0.1801200800533689,0.2357647166754541,0.2079423983644115,False,False,2998
Switzerland,3,Granit Xhaka,Bayer Leverkusen,M,0.07830172263789803,0.03465241714320236,0.056477069890550194,False,False,5747
Tunisia,1,Wahbi Khazri,Montpellier,F M S,0.08053691275167785,0.24538126719127965,0.16295908997147873,False,False,2235
USA,1,Folarin Balogun,Monaco,F S,0.4241645244215938,0.6809845889001549,0.5525745566608744,False,False,2334
USA,2,Christian Pulisic,AC Milan,F M S,0.3999227202472952,0.3440882474071759,0.37200548382723553,False,False,5176
USA,3,Giovanni Reyna,Borussia Dortmund,M S,0.23498694516971275,0.16827741093136,0.20163217805053638,False,False,766
Ukraine,1,Artem Dovbyk,Roma,F S,0.6313328137178488,0.6605966725667599,0.6459647431423043,False,False,5132
Ukraine,2,Roman Yaremchuk,Valencia,F S,0.2903225806451613,0.4037309502581915,0.34702676545167643,False,False,930
Ukraine,3,Oleksandr Zinchenko,Arsenal,D M S,0.04014272970561998,0.042759181325549026,0.0414509555155845,False,False,2242
Uruguay,1,Darwin Núñez,Liverpool,F S,0.46317143776133807,0.7555514825049676,0.6093614601331528,False,False,3109
Uruguay,2,Luis Suárez,Almeria,F M S,0.5856832971800434,0.5281880847430928,0.5569356909615681,False,False,922
Uruguay,3,Facundo Pellistri,Granada,F M S,0.12987012987012986,0.16646099240555393,0.1481655611378419,False,False,1386
Venezuela,1,Darwin Machís,Real Valladolid,F M S,0.2553191489361702,0.1785460467985336,0.2169325978673519,False,False,1410
